24934 : Pressure,24934 : Pressure,24933 : Pressure,24933 : Pressure,24932 : Pressure,24932 : Pressure
1.08,4.26001557290387E-06,1.08,4.27001817639605E-06,1.08,4.17358638252816E-06
1.12,4.29006096333143E-06,1.12,3.97554662962579E-06,1.12,4.11533176791577E-06
1.16,4.17358638252816E-06,1.16,4.45652933612459E-06,1.16,4.38147456306362E-06
1.2,4.12738619000592E-06,1.2,4.14677540204829E-06,1.2,4.12015246921909E-06
1.24,4.22771327579681E-06,1.24,4.03654539302803E-06,1.24,3.98254175362083E-06
1.28,4.22028752098763E-06,1.28,4.07216722086357E-06,1.28,4.22028752098763E-06
1.32,4.21040141255634E-06,1.32,4.08649440564115E-06,1.32,4.12497881749387E-06
1.36,4.46437076730325E-06,1.36,4.29508634248518E-06,1.36,4.25503122759677E-06
1.4,4.08649440564115E-06,1.4,4.32792002303723E-06,1.4,4.38918393254286E-06
1.44,4.02474083145247E-06,1.44,4.1516329364374E-06,1.44,4.24258772127109E-06
1.48,4.20547511729697E-06,1.48,4.15407180951608E-06,1.48,3.9848659986582E-06
1.52,4.31779835675007E-06,1.52,4.09608957789183E-06,1.52,4.22771327579681E-06
1.56,4.04600775371408E-06,1.56,4.17113605236135E-06,1.56,3.92924552941246E-06
1.6,4.34061380893437E-06,1.6,4.28002783767493E-06,1.6,4.27001817639605E-06
1.64,4.22523116750269E-06,1.64,4.31274640386207E-06,1.64,4.38662386177092E-06
1.68,4.0531268567102E-06,1.68,4.16868716079372E-06,1.68,4.25503122759677E-06
1.72,4.00123517189955E-06,1.72,4.09368474642587E-06,1.72,4.12255702503349E-06
1.76,4.16380967245336E-06,1.76,4.21780977238546E-06,1.76,3.9872069046475E-06
1.8,4.04838457737306E-06,1.8,4.18827039230587E-06,1.8,4.13223687305038E-06
1.84,4.47485320096182E-06,1.84,4.15407180951608E-06,1.84,4.17602212282612E-06
1.88,4.23513584028499E-06,1.88,4.43051891196291E-06,1.88,4.33298975030888E-06
1.92,4.13949181033439E-06,1.92,4.22523116750269E-06,1.92,4.12255702503349E-06
1.96,4.10810340528249E-06,1.96,4.06264368127511E-06,1.96,4.0531268567102E-06
2,4.10329680174343E-06,2,4.09368474642587E-06,2,4.12015246921909E-06
2.04,4.2301806050073E-06,2.04,4.06025848603611E-06,2.04,4.27502007742104E-06
2.08,4.35334482569523E-06,2.08,4.1565121153086E-06,2.08,4.05076279729498E-06
2.12,4.39432542438298E-06,2.12,4.33046245580826E-06,2.12,4.35590219424399E-06
2.16,4.07455941187828E-06,2.16,4.42531808644768E-06,2.16,4.21780977238546E-06
2.2,4.01767158700868E-06,2.2,4.08171308527631E-06,2.2,3.99422254533553E-06
2.24,4.07693735919896E-06,2.24,4.13223687305038E-06,2.24,4.13223687305038E-06
2.28,4.31779835675007E-06,2.28,4.10569152044779E-06,2.28,4.06977643431432E-06
2.32,4.29760948713975E-06,2.32,4.02710516187687E-06,2.32,4.3994898259792E-06
2.36,4.21780977238546E-06,2.36,4.315263359125E-06,2.36,4.35590219424399E-06
2.4,4.12497881749387E-06,2.4,4.17602212282612E-06,2.4,4.21534965868646E-06
2.44,4.04838457737306E-06,2.44,4.30264370863735E-06,2.44,4.04600775371408E-06
2.48,4.1662556987448E-06,2.48,4.13707737700072E-06,2.48,4.11533176791577E-06
2.52,4.21780977238546E-06,2.52,4.15407180951608E-06,2.52,4.08411088400059E-06
2.56,4.28252569810601E-06,2.56,4.12981081935497E-06,2.56,4.10329680174343E-06
2.6,4.26500575687507E-06,2.6,4.3635498190548E-06,2.6,4.50904379719631E-06
2.64,4.13707737700072E-06,2.64,4.27751501528091E-06,2.64,4.06501467447467E-06
2.68,4.04838457737306E-06,2.68,4.06977643431432E-06,2.68,4.1516329364374E-06
2.72,4.1662556987448E-06,2.72,4.33046245580826E-06,2.72,4.04364784664422E-06
2.76,4.32537908293919E-06,2.76,3.97786679224966E-06,2.76,4.12738619000592E-06
2.8,4.40980299120211E-06,2.8,4.14192355111934E-06,2.8,4.13464848142502E-06
2.84,4.11533176791577E-06,2.84,4.38662386177092E-06,2.84,4.24258772127109E-06
2.88,4.03419100505087E-06,2.88,4.3917623547431E-06,2.88,4.36866128308396E-06
2.92,4.07216722086357E-06,2.92,3.99890137924636E-06,2.92,3.90859234130523E-06
2.96,4.14921142157272E-06,2.96,4.06264368127511E-06,2.96,4.16380967245336E-06
3,4.18827039230587E-06,3,4.14921142157272E-06,3,4.03891665803163E-06
3.04,4.52226881897532E-06,3.04,4.01297079139481E-06,3.04,4.23266562084407E-06
3.08,4.09848009039941E-06,3.08,4.315263359125E-06,3.08,4.24755749024982E-06
3.12,4.14192355111934E-06,3.12,4.32285622749772E-06,3.12,4.26251811526602E-06
3.16,4.02239332869898E-06,3.16,4.1516329364374E-06,3.16,4.21040141255634E-06
3.2,4.10329680174343E-06,3.2,4.01297079139481E-06,3.2,4.06740266373236E-06
3.24,4.22275051646482E-06,3.24,4.13707737700072E-06,3.24,4.15893789091985E-06
3.28,4.51697762954667E-06,3.28,4.18827039230587E-06,3.28,4.17602212282612E-06
3.32,4.10810340528249E-06,3.32,4.59165620929653E-06,3.32,4.31779835675007E-06
3.36,4.11533176791577E-06,3.36,4.09129703088923E-06,3.36,4.18336999100042E-06
3.4,4.24258772127109E-06,3.4,4.04600775371408E-06,3.4,4.17602212282612E-06
3.44,4.17358638252816E-06,3.44,4.10810340528249E-06,3.44,4.01063015372967E-06
3.48,4.12981081935497E-06,3.48,4.09368474642587E-06,3.48,4.28755870782086E-06
3.52,4.32792002303723E-06,3.52,4.1565121153086E-06,3.52,4.04600775371408E-06
3.56,4.00827549585204E-06,3.56,4.4617668424525E-06,3.56,4.17358638252816E-06
3.6,4.18336999100042E-06,3.6,4.32792002303723E-06,3.6,4.26251811526602E-06
3.64,4.05787469115528E-06,3.64,4.04600775371408E-06,3.64,4.10088773888595E-06
3.68,4.13707737700072E-06,3.68,4.02239332869898E-06,3.68,4.06264368127511E-06
3.72,4.15893789091985E-06,3.72,4.03654539302803E-06,3.72,4.09129703088923E-06
3.76,4.48534303097283E-06,3.76,4.16868716079372E-06,3.76,4.1516329364374E-06
3.8,4.17113605236135E-06,3.8,4.35334482569523E-06,3.8,4.30264370863735E-06
3.84,4.06501467447467E-06,3.84,4.30264370863735E-06,3.84,4.21780977238546E-06
3.88,4.02710516187687E-06,3.88,4.15407180951608E-06,3.88,4.07216722086357E-06
3.92,4.13949181033439E-06,3.92,4.05550786247989E-06,3.92,4.09608957789183E-06
3.96,4.23266562084407E-06,3.96,4.20794561991694E-06,3.96,4.12738619000592E-06
4,4.48009504581773E-06,4,4.12255702503349E-06,4,4.10329680174343E-06
4.04,4.24258772127109E-06,4.04,4.22275051646482E-06,4.04,4.30768382722406E-06
4.08,4.23266562084407E-06,4.08,4.1931765339434E-06,4.08,4.19810453665002E-06
4.12,4.01532820751963E-06,4.12,4.18091391683581E-06,4.12,4.14435672042825E-06
4.16,3.9848659986582E-06,4.16,4.1662556987448E-06,4.16,4.04127380393982E-06
4.2,4.05550786247989E-06,4.2,4.19073078802544E-06,4.2,4.1931765339434E-06
4.24,4.46437076730325E-06,4.24,4.11533176791577E-06,4.24,4.12738619000592E-06
4.28,4.09368474642587E-06,4.28,4.48797794174998E-06,4.28,4.29760948713975E-06
4.32,4.1516329364374E-06,4.32,4.23513584028499E-06,4.32,4.29508634248518E-06
4.36,4.06501467447467E-06,4.36,4.14435672042825E-06,4.36,4.1662556987448E-06
4.4,4.06264368127511E-06,4.4,4.14192355111934E-06,4.4,4.06025848603611E-06
4.44,4.1662556987448E-06,4.44,4.19073078802544E-06,4.44,4.2301806050073E-06
4.48,4.50904379719631E-06,4.48,4.12738619000592E-06,4.48,4.01297079139481E-06
4.52,4.10088773888595E-06,4.52,4.29258115583149E-06,4.52,4.11050092916132E-06
4.56,4.09129703088923E-06,4.56,4.3737955230696E-06,4.56,4.38918393254286E-06
4.6,4.12015246921909E-06,4.6,4.20302219800823E-06,4.6,4.02945541449605E-06
4.64,4.17113605236135E-06,4.64,4.13949181033439E-06,4.64,4.12255702503349E-06
4.68,4.19810453665002E-06,4.68,4.06501467447467E-06,4.68,4.16380967245336E-06
4.72,4.55150755251522E-06,4.72,4.12497881749387E-06,4.72,4.16380967245336E-06
4.76,4.3789189889206E-06,4.76,4.24258772127109E-06,4.76,4.46960033303212E-06
4.8,4.17358638252816E-06,4.8,4.26251811526602E-06,4.8,4.16138105528756E-06
4.84,3.96623383165677E-06,4.84,4.22028752098763E-06,4.84,4.13464848142502E-06
4.88,4.06025848603611E-06,4.88,4.11050092916132E-06,4.88,4.09848009039941E-06
4.92,4.23266562084407E-06,4.92,4.00592222040398E-06,4.92,4.07455941187828E-06
4.96,4.40205740543664E-06,4.96,4.34316369865866E-06,4.96,4.07693735919896E-06
5,4.29508634248518E-06,5,4.3635498190548E-06,5,4.23513584028499E-06
5.04,4.11291563927888E-06,5.04,4.18827039230587E-06,5.04,4.41237658950994E-06
5.08,4.06740266373236E-06,5.08,4.00827549585204E-06,5.08,4.19563981177153E-06
5.12,4.16138105528756E-06,5.12,4.12981081935497E-06,5.12,4.1516329364374E-06
5.16,4.20055458595E-06,5.16,4.08411088400059E-06,5.16,4.04838457737306E-06
5.2,4.26251811526602E-06,5.2,4.23513584028499E-06,5.2,4.10329680174343E-06
5.24,4.19563981177153E-06,5.24,4.31779835675007E-06,5.24,4.14192355111934E-06
5.28,4.18827039230587E-06,5.28,4.49585745096003E-06,5.28,4.53553262973243E-06
5.32,4.12497881749387E-06,5.32,4.05076279729498E-06,5.32,4.02710516187687E-06
5.36,4.14677540204829E-06,5.36,4.27251019510417E-06,5.36,4.10329680174343E-06
5.4,4.34569840571199E-06,5.4,4.04838457737306E-06,5.4,4.04838457737306E-06
5.44,4.35844433559102E-06,5.44,4.22523116750269E-06,5.44,4.09368474642587E-06
5.48,4.24258772127109E-06,5.48,4.22523116750269E-06,5.48,4.31274640386207E-06
5.52,4.02474083145247E-06,5.52,4.36866128308396E-06,5.52,4.32537908293919E-06
5.56,4.11050092916132E-06,5.56,4.16868716079372E-06,5.56,4.1662556987448E-06
5.6,4.12255702503349E-06,5.6,4.06740266373236E-06,5.6,4.18582750798361E-06
5.64,4.20055458595E-06,5.64,4.10329680174343E-06,5.64,4.08411088400059E-06
5.68,4.34061380893437E-06,5.68,4.17358638252816E-06,5.68,4.05076279729498E-06
5.72,4.29760948713975E-06,5.72,4.27502007742104E-06,5.72,4.27001817639605E-06
5.76,4.13949181033439E-06,5.76,4.24011315538605E-06,5.76,4.28002783767493E-06
5.8,4.10329680174343E-06,5.8,4.02710516187687E-06,5.8,4.24508002565729E-06
5.84,4.03419100505087E-06,5.84,4.15893789091985E-06,5.84,3.95695803749995E-06
5.88,4.23762376707033E-06,5.88,4.13949181033439E-06,5.88,4.12015246921909E-06
5.92,4.22771327579681E-06,5.92,4.09368474642587E-06,5.92,4.13223687305038E-06
5.96,4.315263359125E-06,5.96,4.27502007742104E-06,5.96,4.37634810711461E-06
6,4.12015246921909E-06,6,4.27001817639605E-06,6,4.34825128237813E-06
6.04,4.28504146402122E-06,6.04,4.14192355111934E-06,6.04,4.04600775371408E-06
6.08,4.20547511729697E-06,6.08,4.09608957789183E-06,6.08,4.1565121153086E-06
6.12,4.1565121153086E-06,6.12,4.23266562084407E-06,6.12,3.93384824922046E-06
6.16,4.2500527141224E-06,6.16,4.19563981177153E-06,6.16,4.21040141255634E-06
6.2,4.27001817639605E-06,6.2,4.15407180951608E-06,6.2,4.16380967245336E-06
6.24,3.99187752043398E-06,6.24,4.40464339014707E-06,6.24,4.4461068924336E-06
6.28,4.09129703088923E-06,6.28,4.26251811526602E-06,6.28,3.9500078499494E-06
6.32,4.10088773888595E-06,6.32,4.03182251449806E-06,6.32,4.08171308527631E-06
6.36,4.22771327579681E-06,6.36,4.05550786247989E-06,6.36,4.13464848142502E-06
6.4,4.39432542438298E-06,6.4,4.14192355111934E-06,6.4,4.16380967245336E-06
6.44,4.33046245580826E-06,6.44,4.24508002565729E-06,6.44,4.29508634248518E-06
6.48,4.01297079139481E-06,6.48,4.37122764927201E-06,6.48,4.30013411401342E-06
6.52,4.03419100505087E-06,6.52,4.20547511729697E-06,6.52,4.17113605236135E-06
6.56,4.08171308527631E-06,6.56,4.29006096333143E-06,6.56,4.08649440564115E-06
6.6,4.19563981177153E-06,6.6,3.95465007028479E-06,6.6,4.18827039230587E-06
6.64,4.50376808143766E-06,6.64,4.11773351032813E-06,6.64,4.06264368127511E-06
6.68,4.51432569293052E-06,6.68,4.2301806050073E-06,6.68,4.3737955230696E-06
6.72,4.0531268567102E-06,6.72,4.50376808143766E-06,6.72,4.16868716079372E-06
6.76,4.05787469115528E-06,6.76,4.08649440564115E-06,6.76,4.21780977238546E-06
6.8,4.14677540204829E-06,6.8,4.11050092916132E-06,6.8,4.04838457737306E-06
6.84,4.11773351032813E-06,6.84,4.23762376707033E-06,6.84,4.18582750798361E-06
6.88,4.41237658950994E-06,6.88,4.11291563927888E-06,6.88,3.96856379219614E-06
6.92,4.31779835675007E-06,6.92,4.24258772127109E-06,6.92,4.17358638252816E-06
6.96,4.14435672042825E-06,6.96,4.45652933612459E-06,6.96,4.42273693977808E-06
7,4.21780977238546E-06,7,4.28504146402122E-06,7,4.16380967245336E-06
7.04,4.16868716079372E-06,7.04,3.97786679224966E-06,7.04,4.1565121153086E-06
7.08,4.13464848142502E-06,7.08,4.09848009039941E-06,7.08,3.99422254533553E-06
7.12,4.41756220561737E-06,7.12,4.06501467447467E-06,7.12,4.06740266373236E-06
7.16,4.24755749024982E-06,7.16,4.42014033226837E-06,7.16,4.28504146402122E-06
7.2,4.08889501314781E-06,7.2,4.32031826037541E-06,7.2,4.4461068924336E-06
7.24,4.26001557290387E-06,7.24,4.20794561991694E-06,7.24,4.04600775371408E-06
7.28,4.12738619000592E-06,7.28,4.14677540204829E-06,7.28,4.26001557290387E-06
7.32,3.9131708679603E-06,7.32,4.17602212282612E-06,7.32,3.89487392820335E-06
7.36,4.37634810711461E-06,7.36,4.06740266373236E-06,7.36,4.17602212282612E-06
7.4,4.28002783767493E-06,7.4,4.18582750798361E-06,7.4,4.19073078802544E-06
7.44,4.08649440564115E-06,7.44,4.3789189889206E-06,7.44,4.35078895858832E-06
7.48,4.16380967245336E-06,7.48,4.22028752098763E-06,7.48,3.9848659986582E-06
7.52,4.19563981177153E-06,7.52,3.92234401741694E-06,7.52,4.16380967245336E-06
7.56,4.05076279729498E-06,7.56,4.13223687305038E-06,7.56,4.05550786247989E-06
7.6,4.25503122759677E-06,7.6,4.24508002565729E-06,7.6,4.17602212282612E-06
7.64,4.26500575687507E-06,7.64,4.13949181033439E-06,7.64,4.01767158700868E-06
7.68,4.02710516187687E-06,7.68,4.32285622749772E-06,7.68,4.33298975030888E-06
7.72,4.14921142157272E-06,7.72,4.25753084190972E-06,7.72,4.09368474642587E-06
7.76,4.17847532331068E-06,7.76,4.02239332869898E-06,7.76,4.26001557290387E-06
7.8,4.04600775371408E-06,7.8,4.20547511729697E-06,7.8,4.09848009039941E-06
7.84,4.29508634248518E-06,7.84,3.97089512146874E-06,7.84,4.11773351032813E-06
7.88,4.09848009039941E-06,7.88,4.30264370863735E-06,7.88,4.19073078802544E-06
7.92,3.99187752043398E-06,7.92,4.51963112404063E-06,7.92,4.38918393254286E-06
7.96,4.12981081935497E-06,7.96,4.17847532331068E-06,7.96,4.16868716079372E-06
8,4.21040141255634E-06,8,4.11050092916132E-06,8,4.07216722086357E-06
8.04,4.32792002303723E-06,8.04,4.18091391683581E-06,8.04,4.03654539302803E-06
8.08,4.28504146402122E-06,8.08,4.11050092916132E-06,8.08,4.10810340528249E-06
8.12,4.26001557290387E-06,8.12,4.28002783767493E-06,8.12,4.24011315538605E-06
8.16,4.04364784664422E-06,8.16,4.30517129285996E-06,8.16,4.4591473203223E-06
8.2,4.09368474642587E-06,8.2,4.19563981177153E-06,8.2,4.26500575687507E-06
8.24,4.15893789091985E-06,8.24,4.16138105528756E-06,8.24,3.92464819492394E-06
8.28,4.07933235242718E-06,8.28,4.09129703088923E-06,8.28,3.97786679224966E-06
8.32,4.26251811526602E-06,8.32,4.12255702503349E-06,8.32,4.00592222040398E-06
8.36,4.33806541626112E-06,8.36,4.14921142157272E-06,8.36,4.26751123071638E-06
8.4,4.07455941187828E-06,8.4,4.47222599577535E-06,8.4,4.49585745096003E-06
8.44,4.20302219800823E-06,8.44,4.13949181033439E-06,8.44,4.14435672042825E-06
8.48,4.12015246921909E-06,8.48,4.17847532331068E-06,8.48,4.08411088400059E-06
8.52,4.15893789091985E-06,8.52,4.10088773888595E-06,8.52,4.20794561991694E-06
8.56,4.3917623547431E-06,8.56,4.12497881749387E-06,8.56,4.09368474642587E-06
8.6,4.37122764927201E-06,8.6,4.20794561991694E-06,8.6,4.16380967245336E-06
8.64,4.06501467447467E-06,8.64,4.34316369865866E-06,8.64,4.37122764927201E-06
8.68,4.27001817639605E-06,8.68,4.26500575687507E-06,8.68,3.9872069046475E-06
8.72,4.00827549585204E-06,8.72,4.05787469115528E-06,8.72,4.21534965868646E-06
8.76,4.21534965868646E-06,8.76,4.11291563927888E-06,8.76,4.08171308527631E-06
8.8,4.34061380893437E-06,8.8,4.02710516187687E-06,8.8,4.1516329364374E-06
8.84,4.25753084190972E-06,8.84,4.25503122759677E-06,8.84,4.28252569810601E-06
8.88,4.08889501314781E-06,8.88,4.45652933612459E-06,8.88,4.27751501528091E-06
8.92,4.04600775371408E-06,8.92,4.28504146402122E-06,8.92,4.21287480912409E-06
8.96,4.12738619000592E-06,8.96,4.06025848603611E-06,8.96,4.15893789091985E-06
9,4.17358638252816E-06,9,3.9062975902576E-06,9,4.05787469115528E-06
9.04,4.34061380893437E-06,9.04,4.13223687305038E-06,9.04,4.14677540204829E-06
9.08,4.33553516128669E-06,9.08,4.17602212282612E-06,9.08,4.26251811526602E-06
9.12,4.0531268567102E-06,9.12,4.38662386177092E-06,9.12,4.26500575687507E-06
9.16,4.05787469115528E-06,9.16,4.21534965868646E-06,9.16,4.40980299120211E-06
9.2,4.24011315538605E-06,9.2,4.07216722086357E-06,9.2,3.97321256943312E-06
9.24,4.04364784664422E-06,9.24,4.22771327579681E-06,9.24,4.13949181033439E-06
9.28,4.33806541626112E-06,9.28,4.07933235242718E-06,9.28,4.09129703088923E-06
9.32,4.21534965868646E-06,9.32,4.19563981177153E-06,9.32,4.06740266373236E-06
9.36,4.28504146402122E-06,9.36,4.3840484564016E-06,9.36,4.36866128308396E-06
9.4,4.03419100505087E-06,9.4,4.29258115583149E-06,9.4,4.29508634248518E-06
9.44,4.19563981177153E-06,9.44,4.09368474642587E-06,9.44,4.08171308527631E-06
9.48,4.12015246921909E-06,9.48,3.95928254898229E-06,9.48,4.19073078802544E-06
9.52,4.29258115583149E-06,9.52,4.02003176461171E-06,9.52,4.00123517189955E-06
9.56,4.36611318251784E-06,9.56,4.1662556987448E-06,9.56,4.12497881749387E-06
9.6,4.03419100505087E-06,9.6,4.62134356707745E-06,9.6,4.4279177356245E-06
9.64,4.03419100505087E-06,9.64,4.24508002565729E-06,9.64,4.17358638252816E-06
9.68,4.13223687305038E-06,9.68,4.00123517189955E-06,9.68,4.12981081935497E-06
9.72,4.22771327579681E-06,9.72,4.06264368127511E-06,9.72,4.0531268567102E-06
9.76,4.17602212282612E-06,9.76,4.06977643431432E-06,9.76,4.06977643431432E-06
9.8,4.42273693977808E-06,9.8,4.11050092916132E-06,9.8,4.30264370863735E-06
9.84,4.00827549585204E-06,9.84,4.41496863621589E-06,9.84,4.36866128308396E-06
9.88,4.03891665803163E-06,9.88,4.27502007742104E-06,9.88,4.24258772127109E-06
9.92,4.14192355111934E-06,9.92,4.20794561991694E-06,9.92,4.09129703088923E-06
9.96,4.23762376707033E-06,9.96,4.07693735919896E-06,9.96,4.03891665803163E-06
10,4.22275051646482E-06,10,4.22028752098763E-06,10,3.98254175362083E-06
10.04,4.31021437225985E-06,10.04,4.15893789091985E-06,10.04,4.23762376707033E-06
10.08,4.33046245580826E-06,10.08,4.44871875397603E-06,10.08,4.23513584028499E-06
10.12,4.07455941187828E-06,10.12,4.29258115583149E-06,10.12,4.50641381599432E-06
10.16,4.15407180951608E-06,10.16,4.03891665803163E-06,10.16,3.99422254533553E-06
10.2,4.12255702503349E-06,10.2,4.14435672042825E-06,10.2,4.08889501314781E-06
10.24,4.2301806050073E-06,10.24,4.11533176791577E-06,10.24,4.10329680174343E-06
10.28,4.32285622749772E-06,10.28,4.14677540204829E-06,10.28,4.12981081935497E-06
10.32,4.12015246921909E-06,10.32,4.35590219424399E-06,10.32,4.34061380893437E-06
10.36,4.16380967245336E-06,10.36,4.40721397726812E-06,10.36,4.27751501528091E-06
10.4,4.17847532331068E-06,10.4,4.26251811526602E-06,10.4,4.08649440564115E-06
10.44,4.21287480912409E-06,10.44,3.94770393655661E-06,10.44,4.11773351032813E-06
10.48,4.46960033303212E-06,10.48,3.99187752043398E-06,10.48,4.06264368127511E-06
10.52,4.27502007742104E-06,10.52,4.14192355111934E-06,10.52,4.10810340528249E-06
10.56,4.17113605236135E-06,10.56,4.38662386177092E-06,10.56,4.35078895858832E-06
10.6,4.07693735919896E-06,10.6,4.33046245580826E-06,10.6,4.32031826037541E-06
10.64,3.99655360738169E-06,10.64,4.06264368127511E-06,10.64,4.00123517189955E-06
10.68,4.16868716079372E-06,10.68,4.13223687305038E-06,10.68,4.14677540204829E-06
10.72,4.32792002303723E-06,10.72,4.06740266373236E-06,10.72,4.04364784664422E-06
10.76,4.3737955230696E-06,10.76,4.28504146402122E-06,10.76,4.17602212282612E-06
10.8,4.13949181033439E-06,10.8,4.41496863621589E-06,10.8,4.32792002303723E-06
10.84,4.0531268567102E-06,10.84,4.23513584028499E-06,10.84,4.30768382722406E-06
10.88,4.14192355111934E-06,10.88,4.0531268567102E-06,10.88,4.01767158700868E-06
10.92,3.99890137924636E-06,10.92,4.00827549585204E-06,10.92,4.09129703088923E-06
10.96,4.31779835675007E-06,10.96,4.13949181033439E-06,10.96,4.08411088400059E-06
11,4.27751501528091E-06,11,4.27502007742104E-06,11,4.17358638252816E-06
11.04,4.16868716079372E-06,11.04,4.39432542438298E-06,11.04,4.50904379719631E-06
11.08,4.06025848603611E-06,11.08,4.34825128237813E-06,11.08,4.14435672042825E-06
11.12,4.33806541626112E-06,11.12,4.07693735919896E-06,11.12,4.11773351032813E-06
11.16,4.13464848142502E-06,11.16,4.15893789091985E-06,11.16,4.03891665803163E-06
11.2,4.34825128237813E-06,11.2,4.01063015372967E-06,11.2,4.14435672042825E-06
11.24,4.28755870782086E-06,11.24,4.09608957789183E-06,11.24,4.07693735919896E-06
11.28,4.23266562084407E-06,11.28,4.4409048147311E-06,11.28,4.4435136203176E-06
11.32,4.11291563927888E-06,11.32,4.26251811526602E-06,11.32,4.24755749024982E-06
11.36,3.98953387230645E-06,11.36,3.9848659986582E-06,11.36,4.06501467447467E-06
11.4,4.1662556987448E-06,11.4,4.22523116750269E-06,11.4,4.06740266373236E-06
11.44,4.35590219424399E-06,11.44,4.12015246921909E-06,11.44,4.12738619000592E-06
11.48,4.29258115583149E-06,11.48,4.1516329364374E-06,11.48,4.12738619000592E-06
11.52,4.20794561991694E-06,11.52,4.2301806050073E-06,11.52,4.42273693977808E-06
11.56,4.08889501314781E-06,11.56,4.3635498190548E-06,11.56,4.31779835675007E-06
11.6,4.07693735919896E-06,11.6,3.9872069046475E-06,11.6,4.00592222040398E-06
11.64,4.17847532331068E-06,11.64,4.05550786247989E-06,11.64,4.22275051646482E-06
11.68,4.18091391683581E-06,11.68,4.19073078802544E-06,11.68,3.92924552941246E-06
11.72,4.40721397726812E-06,11.72,4.2500527141224E-06,11.72,4.14921142157272E-06
11.76,4.29508634248518E-06,11.76,4.27751501528091E-06,11.76,4.38662386177092E-06
11.8,4.06977643431432E-06,11.8,4.24755749024982E-06,11.8,4.33806541626112E-06
11.84,4.1565121153086E-06,11.84,4.13464848142502E-06,11.84,4.08411088400059E-06
11.88,4.11291563927888E-06,11.88,4.13707737700072E-06,11.88,4.03654539302803E-06
11.92,4.20302219800823E-06,11.92,4.11291563927888E-06,11.92,4.24755749024982E-06
11.96,4.31779835675007E-06,11.96,4.34316369865866E-06,11.96,4.01767158700868E-06
12,4.22275051646482E-06,12,4.22523116750269E-06,12,4.28755870782086E-06
12.04,4.05076279729498E-06,12.04,4.34061380893437E-06,12.04,4.19563981177153E-06
12.08,4.04364784664422E-06,12.08,4.17113605236135E-06,12.08,4.02710516187687E-06
12.12,4.23513584028499E-06,12.12,4.17847532331068E-06,12.12,3.99890137924636E-06
12.16,4.16868716079372E-06,12.16,4.24011315538605E-06,12.16,4.23266562084407E-06
12.2,4.56485712045395E-06,12.2,3.97554662962579E-06,12.2,4.2301806050073E-06
12.24,4.35334482569523E-06,12.24,4.28504146402122E-06,12.24,4.30264370863735E-06
12.28,4.04600775371408E-06,12.28,4.28504146402122E-06,12.28,4.26001557290387E-06
12.32,4.09848009039941E-06,12.32,4.27001817639605E-06,12.32,3.95465007028479E-06
12.36,4.20055458595E-06,12.36,4.02945541449605E-06,12.36,4.11773351032813E-06
